2-mariuana-fgroup,2-mariuana-LG_L1,2-mariuana-LG_L2,2-mariuana-LG_EN,2-mariuana-DT,2-mariuana-SVM,2-mariuana-baseline
g1,-,-,-,0.677419355,-,0.666666667
g2,-,-,-,0.537634409,-,0.666666667
g3,-,-,-,0.612903226,-,0.666666667
g4,-,-,-,0.462365591,-,0.666666667
g5,-,-,-,0.612903226,-,0.666666667
g6,-,-,-,0.580645161,-,0.666666667
g7,-,-,-,0.505376344,-,0.666666667
g8,-,-,-,0.569892473,-,0.666666667
pca,-,-,0.677419355,0.569892473,0.655913978,0.666666667
chi2,0.677419355,0.655913978,-,0.548387097,0.591397849,0.666666667
thresholding,0.580645161,0.655913978,0.602150538,0.64516129,0.559139785,0.666666667
